id,area,research,teaching,bio
lee-remmers,Finance,"Multimedia Teaching Applications,
Business Simulations,
Corporate-Risk Management,
Corporate Finance","Corporate-Risk Management (Foreign Exchange, Interest-Rate Risk, Commodity Risk),
Valuation of Companies and Corporate Securities,
Capital Investment Decision Analysis,
Corporate Finance: Financial Analysis","Lee Remmers is an Emeritus Professor of Finance at INSEAD since 1998. He received his BS in Economics from the University of California (Berkeley), an MBA from INSEAD and a PhD from Manchester University (UK). He has conducted extensive research on various aspects of financial management in European and multinational companies.

Professor Remmers is a co-author of books The Strategy of Multinational Enterprise: Organization and Finance, The International Firm and The Multinational Company in Europe. He has published articles on investment decisions, company valuation, financial markets, and foreign exchange management, numerous case studies, and has developed computer models of financial problems and the international finance simulation FORAD.

Professor Remmers has organised and contributes to the Executive Education programmes for multinational companies, banks, and international organisations in Europe, China, Hong Kong, Singapore, Japan, the Philippines, Australia, Africa, Mexico, Canada, and the United States. At INSEAD, he launched, directed, and taught in the Finance for Executives and the Corporate Financial Strategy in Global Markets programmes as well as other Executive Education programmes and MBA courses. He served in various administrative capacities at INSEAD, in particular, as Associate Dean for the MBA programme in the 1970s."
li-huang,Organisational Behaviour,"Psychological Contradictions,
Creative Thinking,
Power and Status,
Trust and Cooperation,
Negotiation and Conflict Resolution","Trust,
Negotiations,
Organisational Behaviour","Li Huang is an Assistant Professor of Organisational Behaviour at INSEAD. She holds a PhD in Management and Organisations from the Kellogg School of Management, Northwestern University.

Professor Huang's research examines the individual and organizational effects of psychological contradictions. Psychological contradictions are misalignments between individuals’ “true” feelings or desires and what they are socially or psychologically compelled to experience. These contradictions often manifest in different types of incongruence between individuals’ thoughts, feelings, and behaviors. Professor Huang’s research suggests that psychological contradictions, though aversive, possess epistemic and motivational values and that their presence and resolution can be adaptive to organisations and societies. Her interest in this topic has led her to two fundamental questions facing modern organizations: (1) how do psychological contradictions affect workplace performance and relationship? (2) how can we resolve these contradictions in a way that fulfills organizations’ and their members’ needs for interdependence or independence? 

Professor Huang has published in leading academic journals such as Academy of Management Journal, Organizational Behavior and Human Decision Processes, Psychological Science, Personality and Social Psychology Bulletin, Journal of Experimental Social Psychology, Social Psychological and Personality Science, and Behavioral and Brain Sciences. Her research has been recognised by the scientific community through awards, fellowships, and grants from the American Psychological Association, the Society of Experimental Social Psychology, and the Dispute Resolution Research Center. Her research and insights have also received numerous media mentions including The Wall Street Journal, New York Times, National Public Radio (NPR), The Economist, Financial Times, ABC News, The Boston Globe, The Huffington Post, MIT Sloan Management Review, Scientific American, Smithsonian.com, The Globe and Mail (Canada), The Independent (UK), The Times (UK). 

Professor Huang teaches the Negotiations course in the MBA and the Executive Education programmes, The Value of Trust course in the MBA programme, as well as the Organisational Behaviour course in the PhD programme. Her teaching has received Dean’s Commendation for Excellence in MBA Teaching at INSEAD. 

Prior to joining the INSEAD faculty, she taught in the MBA program at the Kellogg School of Management, Northwestern University. A native of China, she has lived and worked for several years in the United States.

Watch Li's interview on music and power with INSEAD Knowledge 
Watch a snippet of Li’s talk on sarcasm and creativity at QSP Summit 2017
"
lily-hua-fang,Finance,"Financial Institutions,
Private Equity,
Analyst Research,
Mutual/Hedge Funds,
Media and Financial Markets","Corporate Finance,
Private Equity,
Alternative Investments","Lily Fang is a Professor of Finance at INSEAD and the holder of the AXA Chair in Financial Market Risk. Professor Fang joined INSEAD in 2003. She is currently based in the European campus, after having spent twelve years in the Asian campus.

Professor Fang’s primary research interest is financial market information and investment strategies. She has published numerous papers on the performance, behavior, and incentives of financial analysts, fund managers, and financial institutions in top academic journals such as the Journal of Finance, the Journal of Financial Economics, and the Review of Financial Studies. Her work on the relation between media coverage and stock returns received the prestigious Smith Breeden prize for outstanding papers published in the Journal of Finance. Professor Fang has advised a number of large institutional investors on investment strategies.

At INSEAD Professor Fang teaches corporate finance, capital markets, valuation, private equity, venture capital and entrepreneurial finance in the MBA, EMBA, and Executive Education programmes. She has won the Dean's Commendation Award for Excellence in MBA Teaching numerous times and has taught and directed numerous Executive Education programmes. Professor Fang has also been a Visiting Professor of Finance at the MIT Sloan School of Management where she won the Outstanding Teacher Award.

Professor Fang obtained her PhD in Finance from the Wharton School, University of Pennsylvania. Prior to that, she studied mathematics, actuarial science and management science at Simon Fraser University in Vancouver. 
"
lin-shen,Finance,"Corporate Finance, Financial Markets, and Financial Institutions",Financial Markets and Valuation (MBA),"Lin is an Assistant Professor of Finance at INSEAD Europe campus. She joined INSEAD in 2019 after obtaining a PhD in Finance from the Wharton School and a BSc in Quantitative Finance and Risk Management Science from the Chinese University of Hong Kong. 

Her research focuses on the coordination problems and policy-relevant issues in banking, corporate finance and political economy. Her recent research investigates the impact of capital flows in the financial system on the credit supply to the real economy, and the design of government intervention policies to resolve panic-based bank runs and other coordination failures."
lin-tian,Economics and Political Science,"International Trade,
Economic Geography,
Urban Economics,
Public Finance,
Development Economics",Prices and Markets,"Lin Tian is an Assistant Professor of Economics at INSEAD. She holds a Bachelor degree in Economics and Statistics, and a Master degree in Statistics from Carnegie Mellon University. She earned her PhD in Economics from Columbia University. 

Professor Tian's research interests include international trade, economic geography, urban economics and public finance. Her current research focuses on studying the factors that contribute to the uneven distribution of economic activities across space. More specifically, she studies the importance of firms’ internal organization, e.g., worker specialization, to the spatial parity in economic development. She also investigates how and why regions vary in their adjustment to changes in local labor-market conditions, such as immigration shocks. In addition, she also studies trade tax in developing countries. In her research, she combines applied theories with well-identified empirical analyses that carefully separate the hypothesized mechanism from confounding factors. 

Prior to graduate school, she worked as an urban planner at the Urban Redevelopment Authority, Singapore. Apart from doing research, she partakes in marathons and scuba diving. 
"
linda-brimm,Organisational Behaviour,"Global Cosmopolitans,
Narrative, Identity,
Diversity, The Development of Successful Global Executives and Entrepreneurs over time","Change,
Professional Development,
Self- Assessment,
Lives in Transition,
Global Cosmopolitans,
Women and Leadership, Diversity","Linda Brimm is Emeritus Professor of Organisational Behaviour at INSEAD, teaching both in the MBA and Executive Education programmes. Along with her teaching responsibilities, Dr Brimm created and ran the psychological service for the MBA programme at INSEAD. Trained as a clinical psychologist, she also works with both individuals and families at a centre, which she co-founded in Paris. 

She received her Doctorate in Clinical Psychology and Psychoanalysis from the Université of Paris. Her undergraduate degree is from Cornell University, her master's degree is from Northeastern University, and she completed a postgraduate program in clinical psychology at Hebrew University in Israel.

Identity development, diversity, and change have been an interest in her research, consulting and teaching over the years. Her initial research focused on managing workforce diversity and the development of people’s lives and careers. Dr Brimm's research and consulting interests currently focus on Global Cosmopolitans. Her groundbreaking book, Global Cosmopolitans, The Creative Edge of Difference, published in September 2010, combines her study of identity development and change in the lives of the next generation of global leaders and the use of narrative writing and analysis. Her work has been described as presenting 'a whole new concept of careers, and thereby, becomes one of the most important career development books published in the last decade'.

While her earlier work focused on competence and challenges affecting identity for people in relatively early career and life stages, her current research focuses on people that are in a different life stage and have experienced significant success in their professional lives. Her current research examines the lives of Global Cosmopolitan senior executives and entrepreneurs. Using a narrative approach she is pulling together, through their stories and analysis, the impact of different life stages on the lives of Global Cosmopolitans and the impact of growing up in a different generation and in a different global context. This work should also afford an understanding of the ways people find to manage what appear to the outsider to be seamless transitions from one world to another.
"
loic-sadoulet,Economics and Political Science,"Economics and business development in emerging markets,
Financial services in emerging markets,
Reputation-based contracts,
Microfinance","Macroeconomics,
Global economic outlook,
Changing economic forces: doing business in an evolving world,
Interest rates, exchange rates and economic fluctuations: the role and limitations of economic policy,
Financial crises: identifying warning signs and opportunities,
Economics and strategy in emerging markets,
Microfinance: a business case","Loïc Sadoulet is Affiliate Professor of Economics at INSEAD, and Visiting Professor at CEDEP. Loïc holds a PhD in Economics from Princeton University. He has been teaching at INSEAD since 2000 in Executive Development Programmes, MBA and Executive-MBA programmes. 

His MBA and E-MBA teaching cover macroeconomics, economic development, negotiation analysis, and projects-based courses, using both theoretical and practical approaches to analyse the business environment, develop negotiation skills, and consulting skills to work in unfamiliar and changing settings. For Executives, he designs and directs programmes around innovation for new markets in an evolving world and in emerging markets. He also develops week-long programmes in South Africa, India, China, Korea, Japan, the Silicon Valley, as deep-dive learning journeys for companies like retail bank, telecom or entertainment groups, petroleum or pharmaceutical companies. In all these programmes, the objective is to get executives to think about emerging opportunities in a changing world.

In 2008, Loïc launched the INSEAD Africa Initiative, one of the initiatives of the INSEAD Social Innovation Centre. His research focuses on business development and expansion in emerging economies, both by local efforts and through entry by multinational companies. His interests lie in creating profitable agreements in environments with substantial information gaps. A major line of his research has concentrated on the design of financial services that can be extended (profitably) to traditionally neglected segments. Recently, he has also been involved in investigating ICT-based solutions to create new profitable markets for a range of activities: health, information services, financial services. 

Previously, Loïc has worked for the World Bank; in a microfinance institution in Guatemala; at the European Centre for Advanced Research in Economics and Statistics (ECARES) at the Free University of Brussels; and at the Solvay Business School (Belgium) where he was twice rewarded by the Teacher of the Programme Award by the part-time MBA students. 

"
lucia-del-carpio,Economics and Political Science,"Behavioral Economics,
Economic Development,
Applied Microeconomics,
Public Finance",Prices and Markets,"Lucia Del Carpio is an Assistant Professor of Economics at INSEAD. She obtained her PhD in Economics from Princeton University in 2014, and a Master in Public Affairs from the Woodrow Wilson School of Public and International Affairs at Princeton University in 2008.

Her research is in the areas of behavioral economics, development, and applied microeconomics. Her current projects are aimed at investigating the role of social norms in tax compliance. She has thus conducted field experiments on property tax compliance in Peru, combining them with targeted surveys to identify causal channels. She is also studying the design of optimal tax enforcement policies when social norms may affect evasion decisions. More broadly, she explores how the interaction between formal and informal institutions shapes economic outcomes. Her research methods encompass theoretical, experimental and econometric approaches.

Professor Del Carpio is affiliated with the Group for the Analysis of Development (GRADE) in Peru. She has worked in an advisory role at the Ministry of Economy and Finance of Peru, in the areas of competition, trade, and international investment. She subsequently was a member of the Council of Advisers to the Prime Minister, where she was responsible for economic issues. She also has experience working in investment banking in both Peru and the United States.


"
lucie-tepla,Finance,"Portfolio Choice and Risk Management,
Credit Risk","Corporate Financial Policy,
Derivatives,
Financial Economics,
Credit Derivatives,
Structured Credit","PhD in Engineering-Economic Systems and Operations Research from Stanford University, USA, MBA (Finance and Accounting) from William E. Simon Graduate School of Business, University of Rochester, NY, USA and BA in Management Science with Computing from the University of Kent in the UK. Lucie Tepla's research interests include portfolio investment, derivatives, term-structure modelling and risk management. Recent publications include: 'Optimal portfolio investment with borrowing and short sale constraints' and 'Optimal Investment with Minimum Performance Constraints'. Lucie Tepla has taught graduate level and executive education classes in Investment Science at Stanford University. She has worked for BZW, Credit Suisse and Cornerstone Research, a litigation-consulting firm.

Lucie Tepla directs the Transition to General Management programme."
ludo-van-der-heyden,Technology and Operations Management,"Fair Process Leadership,
Business Model,
Communication","Process Management,
Leadership Governance,
Family Business,
Team Dynamics,
Project Management,
Director of the AMP Program: 2000","Ludo Van der Heyden has been Professor of Technology and Operations Management at INSEAD since 1988 and has been the INSEAD Chaired Professor in Corporate Governance since October 2010. He is the founding Academic Director of INSEAD's Corporate Governance Initiative (ICGI) and, with colleagues, still co-directs the International Directors Programme and the Modern Governance in Banking (or IDP for Bankers, with Peter Nathanial). He created the Value Creation for Owners and Directors programmes (with Massimo Massa). He directed the Advanced Management Program (INSEAD’s most senior general management programme, from 2000 to 2008), the INSEAD Zentrum Leipzig (1994-1999), was co-Dean of INSEAD (1990-1995), and also PhD Director & Associate Dean for Research (1989-1990). 

Ludo Van der Heyden was the first holder of the Wendel Chair in the Large Family Firm, which initiated INSEAD's activities in family business and led to the creation of the Wendel international Centre for Family Enterprise at INSEAD. He also was the first holder of the Solvay Chair in Technological Innovation and of the Mubadala Chair in Corporate Governance and Strategy. He received several Outstanding MBA Core Teacher Awards, as well as an Outstanding Service Award in Executive Education and an Outstanding Contribution Award to Executive Education for ICGI’s role in starting governance education at INSEAD. The INSEAD International Alumni Association named him Honorary Alumnus. 

Ludo Van der Heyden earned the Mercurius Award from the Federation of Belgian Distributors for his work (with Professor Arnd Huchzermeier of WHU, Koblenz) on the introduction of the Euro. He is the recipient, with Christine Blondel and Randel Carlock, of the Family Business Network 2006 Research Award for the article Striving for Justice in Family Firms. His paper Why Fairness Matters, co-authored with PhD student Thomas Limberg, was selected as one of the ten most influential papers of the International Commerce Review (2000-10), while the paper Business Model Innovation (co-authored with Jose Santos and Bert Spector) received the Outstanding Paper of the 2010 Academy of Management Conference (Section: Human Resource Management). He received (with M. Pich and N. Harlé) the ECCH European Case Award 2003 for the Marks & Spencer and Zara case and co-authored, with INSEAD faculty, Industrial Excellence, a book that identifies better manufacturing practices in France and Germany. In 2014, he earned The International Alliance for Women World of Difference 100 Award!.

Before joining INSEAD, Ludo Van der Heyden was on the faculty of the School of Organization and Management at Yale University (1980-1988) and of the Kennedy School of Government at Harvard University (1978-80). He holds an Engineering Degree in Applied Mathematics from the Université Catholique de Louvain (1974) and a Ph.D. Degree in Administrative Sciences from Yale University (1979).

He has published in a number of journals such as Harvard Business Review, Strategy & Business, International Commerce Review, The European Finance Review, Family Business Review, the Journal of Economic Theory, Mathematics of Operations Research, Mathematical Programming, and the International Journal of Game Theory. His most recent publications are two reports on digitilisation entitled The Real Impact of Digital (2016) and Directing Digitalisation: Guidelines for Boards and Executives (2017).

Ludo Van der Heyden is a member of the Advisory Board of Bencis Capital Partners as well as a number of start-ups. He is the Chairman of Seisquare, a firm designing software for oil & gas exploration and production. He is the first Honorary Professor of the recreated Handelshochschüle Leipzig (HHL), from which he also received the Distinguished Service Medal in 2003. He is Honorary Vice-President of the Association Pôle Sud Paris which fosters economic development in the South Paris area. In 1996 the King of Belgium appointed him Officer of the Order of Leopold.


Ludo Van der Heyden is directing the International Directors Programme, and the International Directors Banking Programme.
"
luk-van-wassenhove,Technology and Operations Management,"Circular Economy and Closed-loop Supply Chains,
Business Models for Sustainable Operations,
Humanitarian and Health Supply Chains,
Corporate Social Alliances","Humanitarian and Health Supply Chains,
Circular Economy,
Closed-loop Supply Chains,
Sustainable Operations","Professor Van Wassenhove currently focuses on aligning business models and new technologies with the UN Sustainable Development Goals, e.g. closed-loop supply chains, circular economy, and disaster and health logistics. He recently co-edited special issues on humanitarian operations for the Journal of Operations Management, the Production and Operations Management Journal and the European Journal of Operational Research.

Professor Van Wassenhove is Fellow of the Production and Operations Management Society (POMS 2005). In 2006, he received EURO’s Gold Medal. He is Distinguished Fellow of the Manufacturing and Services Operations Management Society (MSOM 2009), and Honorary Fellow of the European Operations Management Association (EUROMA 2013). In 2018 he was elected Fellow of INFORMS and received an honorary doctorate from the University of Thessaloniki. 

At INSEAD Emeritus Professor Van Wassenhove holds the Henry Ford Chair in Manufacturing, as emeritus. He created the INSEAD Social Innovation Center and acted as academic director until 2010. He currently leads INSEAD’s Humanitarian Research Group and its Sustainable Operations Initiative.
"
manfred-f-r-kets-de-vries,Entrepreneurship and Family Enterprise,"Leadership Development/Entrepreneurship,
Cross-Cultural Management,
The Dynamics of Organisational Transformation and Change,
Leadership Coaching/Psychotherapy, Team Dynamics/ Group Coaching,
Career Dynamics,
Family Business and Succession Planning,
Executive Stress","Program Director of INSEAD's Top Management Seminar - The Challenge of Leadership: Creating Reflective Leaders,
Scientific Director of Executive Master in Consulting and Coaching for Change","Manfred F. R. Kets de Vries is the Distinguished Clinical Professor of Leadership Development and Organisational Change and the Raoul de Vitry d'Avaucourt Chaired Professor of Leadership Development, Emeritus, at INSEAD. He brings a different view to the much-studied subjects of leadership and the dynamics of individual and organisational change. Bringing to bear his knowledge and experience of economics (EconDrs, University of Amsterdam), management (ITP, MBA, and DBA, Harvard Business School), and psychoanalysis (Canadian Psychoanalytic Society and the International Psychoanalytic Association), he scrutinises the interface between international management, psychoanalysis, psychotherapy, and dynamic psychiatry. His specific areas of interest are leadership, career dynamics, executive stress, entrepreneurship, family business, succession planning, cross-cultural management, team building, coaching, and the dynamics of corporate transformation and change. Manfred F. R. Kets de Vries directs The Challenge of Leadership Executive Education programme.

A clinical professor of leadership and organisational change, he held the Raoul de Vitry d'Avaucourt Chair of Leadership Development at INSEAD from September 1992 to March 2013. He is the founder of the INSEAD Global Leadership Centre, the programme director of INSEAD's top management seminar The Challenge of Leadership, and the scientific director of the INSEAD Executive Master in Consulting and Coaching for Change. He has received the INSEAD Distinguished Teacher Award five times. He has held professorships at McGill University, the Ecole des Hautes Etudes Commerciales, Montreal, and the Harvard Business School, and has lectured at management institutions around the world. 

Financial Times, Le Capital, Wirtschaftswoche, and The Economist rated Manfred Kets de Vries as one of the world's top fifty leading management thinkers, as well as one of the most influential contributors to human resource management. In 2008, he received the Lifetime Achievement Award from the International Leadership Association (the Leadership Legacy Project), being viewed as one of the world’s six founding professionals in the development of leadership as a field and discipline.

He is the author, co-author or editor of forty-nine books and has published over 400 papers as articles or chapters in books. His books and articles were translated into thirty-one languages. He is a member of seventeen editorial boards. He has been elected a Fellow of the Academy of Management. In 2011, he was awarded the Doctor Honoris Causa title by the IEDC-Bled School in recognition of his contributions to leadership development and research. In 2001, he received the Harry and Miriam Levinson Award (Organizational Consultation division) from the American Psychological Association for his contributions to the field of consultation. He is a founding member of the International Society for the Psychoanalytic Study of Organizations (ISPSO), and in 2009 he became its Lifetime Distinguished Member. Kets de Vries is also the first non-American recipient of the International Leadership Award from the International Leadership Association (ILA) for “his contributions to the classroom and the boardroom”. In 2010, he received the Freud Memorial Award from the Dutch Psychoanalytic Institute in acknowledgement of his exceptional work on the interface between psychoanalysis and organisations.

Kets de Vries is a consultant on organisational design/transformation and strategic human resource management to leading US, Canadian, European, African, and Asian companies. As an educator and consultant, he has worked in more than forty countries.

He was awarded an Officer in the Order of Oranje Nassau by the Dutch government. He was the first fly fisherman in Outer Mongolia and is a member of New York's Explorers Club. In his spare time, he can be found in the rainforests or savannas of Central and Southern Africa, the Siberian taiga, the Ussuri Krai, Kamchatka, the Pamir and Altai Mountains, Arnhemland, or within the Arctic Circle."
manuel-sosa,Technology and Operations Management,"Innovation Management,
Organisation Design for New Product Development,
Complex Product Architectures,
Social Networks in R&D Organisations","Strategies for Product and Service Development (MBA),
Process and Operations Management (MBA),
Technology Management (PhD),
Empirical Methods in Operations Management (PhD),
Both opened enrolment and company specific programs (Executive Education)","Manuel E. Sosa is an Associate Professor of Technology and Operations Management and the Director of the Heinrich and Esther Baumann–Steiner Fund for Creativity and Business at INSEAD. He received a BS degree in Mechanical Engineering from Universidad Simón Bolívar (Caracas, Venezuela) and an SM and a PhD degrees in Mechanical Engineering from the Massachusetts Institute of Technology (MIT). He directs the Innovation by Design Programme.

Professor Sosa's research efforts are applied to improving product development systems. He is particularly interested in studying coordination and innovation networks in complex product and software development organisations. 

Professor Sosa teaches in the MBA, PhD and Executive Education programmes covering topics related to innovation and operations management. His teaching achievements include the development of a programme with the Art Center College of Design (Pasadena, California) to integrate business and design disciplines for successful product development. 

His professional experience includes systems engineering in the petrochemical industry and development and deployment of computer-aided engineering software applications.

"
marc-le-menestrel,Decision Sciences,,,"Marc teaches and coaches senior executives and board directors on high level performance and leadership as well as the exercise of wise power in governance, sustainability, anti-corruption and risk management. Leading companies and academic institutions are using his expertise and innovative pedagogical approaches to inspire leaders, organizations and directors in search of both performance and meaning.

As a decision scientist, Marc's research is focused on the theory of choice; the confluence of rational thinking and ethical values in decision making; and the use of mathematical theories of measurement to articulate the subjectivity of human behaviour. 

His work has been published in academic journals such as Psychological Science, The Journal of Mathematical Psychology; Theory and Decision; Discrete Mathematics; The European Journal of Operational Research; The Journal of Economics and Business Organizations; The Journal of Business Ethics; Ecological Economics; Business Ethics: A European Review.

Marc Le Menestrel holds a Ph.D. in Decision Sciences from INSEAD. He has a graduate degree from the Paris Graduate Management School and an undergraduate degree in mathematics and physics from University Paris VI. 

Marc is an avid rock climber. As a former professional athlete, he has travelled extensively, opening and repeating some of the most renowned and hardest climbing routes in the world."
marcel-corstjens,Marketing,"Retailing,
Social Media,
Marketing Insight,
New Products,
Value Creation and Value Capture","Marketing Strategy,
Branding,
Retail and Distribution","Marcel is the Emeritus Professor of Marketing and the Unilever Chaired Professor of Marketing, Emeritus, at INSEAD. 

After his studies in Belgium, Marcel received his PhD from the University of California, Berkeley. His doctoral dissertation won first prize from the American Marketing Association. He taught at Berkeley, University of California, and in 1978 he joined INSEAD. He has been a visiting professor at Cornell and Stanford universities. 

At INSEAD, Marcel has conducted his research and consulting activities in marketing strategy with a particular focus on innovation, distribution channels and the interaction between distributors and manufacturers. His current research focuses on the relationship between manufacturers and retailers in the fast moving consumer goods (FMCG) industry.

Marcel is the author and developer of a number of educational computer-based simulations and decision-making support systems (most recently, Allocator and phValue). His most widely known products are Stratpharm and Elexir simulations for the pharmaceutical industry, accompanied by a book Marketing Strategy in the Pharmaceutical Industry, and Storewars designed for the FMCG industry. Based on Storewars, Marcel and his wife Judith Corstjens co-authored a book Store Wars: The Battle for Mindspace and Shelfspace (J. Wiley & Sons), which analyses and proposes strategies for manufacturers and retailers in the FMCG industry. Marcel is the creator and director of the Storewars programme for senior executives in the consumer goods industries.

Marcel has published articles in a number of international academic journals including Marketing Science, Management Science, Journal of Marketing, Journal of Marketing Researchr, Journal of Business. His research has been featured in the Harvard Business Review, and The Economist. 

Marcel's consulting activities focus on marketing strategy in the pharmaceutical and FMCG industries."
maria-ana-vitorino,Marketing,"Empirical Industrial Organization,
Pricing, Entry and Market Structure,
Advertising, Game Theory,
Regulation, Finance","Marketing Research,
Market Driving Strategies","Maria Ana Vitorino is an Associate Professor of Marketing at INSEAD. Professor Vitorino holds a Ph.D. and an MBA from The University of Chicago Booth School of Business and was on the faculty at the Wharton School of the University of Pennsylvania prior to joining INSEAD.

Professor Vitorino's research interests include firms’ pricing strategies, consumer-choice models and using game-theoretic models to explain the strategic impact of firms’ decisions. Professor Vitorino also does research in the intersection of Marketing and Finance. More specifically, she is interested in understanding how firm value is affected by Marketing activities such as Advertising.

For more information please refer to: Personal Website."
maria-guadalupe,Economics and Political Science,"Organisational Economics,
Personnel Economics,
Corporate Governance and Executive Compensation,
Multinational Production and Innovation","Industrial Organisation (PhD),
Organisational Economics (PhD),
Growth and Sustainability in Brazil (MBA)","Maria Guadalupe is Professor of Economics at INSEAD and the Academic Director of the INSEAD Randomized Control Trials (RCT) Lab. Maria obtained a PhD in Economics from the London School of Economics in 2003. Prior to joining INSEAD in 2012, she was an Associate Professor in the Economics and Finance department at the Columbia Business School where she held the Sanford C. Bernstein & Co. Chair in Leadership and Ethics. Maria has been a visiting scholar at MIT and Princeton and is currently a research fellow at the Center for European Policy Research (CEPR) and the IZA Institute of Labor Economics. She is also a member of the Strategy Research Initiative.

Maria has taught MBA and Executive MBA courses on Strategy, Structure and Incentives; Strategy and Regional Competitiveness; Growth and Sustainability in Brazil; as well as PhD courses on Industrial Organisation and Organisational Economics.

Her research explores the interactions between firms’ organisational choices and markets, with a focus on firm performance. She has studied how globalisation and the competitive environment faced by firms shape their internal organisational choices, including pay levels, incentives, executive compensation, and hierarchical structures. She has also studied the effect of corporate governance arrangements on firm performance. Her recent work focuses on how multinationals select their foreign targets and examines the productivity consequences of the changes in firm boundaries.

Maria’s work has been published in top economics, finance, and management journals such as the American Economic Review, Journal of Finance, Management Science, Journal of Labor and Economics, and American Economic Journal: Applied Economics. She has been awarded a number of prizes for her contributions to research including the Brattle Distinguished Paper prize awarded by the American Finance Association and the Jaime Fernandez de Araoz prize in Corporate Finance. She is an Associate Editor of the Management Science and a Co-Editor of the Journal of Economics and Management Strategy."
mark-mortensen,Organisational Behaviour,"Team Dynamics,
Global, Virtual, and Distributed Teams,
Project-based Work,
Identity,
Conflict","Organisational Behaviour,
Team Dynamics,
Managing Global Virtual Teams","Mark Mortensen is an Associate Professor of Organisational Behaviour at INSEAD. 
Mark Mortensen is co-directing Emerging Leaders in a Digital Age.

His area of expertise is organisational collaboration, with an emphasis on two increasingly prevalent ways of organisng that do not fit traditional models of team dynamics: globally distributed (virtual) and project-based work. In his research, he has investigated the nature of conflict in distributed collaborations and its relationship to identity, context, and communication; the impact of dispersion structure – in the form of balance, imbalance, and isolation – on collaboration dynamics; and the effects of first-hand experience – gained through site visits and expatriate assignments – on trust. He has also explored the interpersonal effects of working in multiple, partially-overlapping, fluidly-shifting projects, developing a fundamentally new model of collaboration. 

Professor Mortensen's research has been recognised by the academic community through awards including the William H. Newman Award, Organisational Behaviour Division Best Dissertation-Based Paper Award, and Runner-up OCIS Division Best Paper Award from the Academy of Management; and the Best Paper Award Finalist nomination by the Interdisciplinary Network of Groups Researchers. His research has been published in top peer-reviewed academic journals including the Organization Science, Management Science, Academy of Management Review, Journal of Organizational Behavior, and International Journal of Conflict Management. His works has been featured in multiple edited volumes, practitioner journals such as the MIT-Sloan Management Review, Harvard Business Review Online, and IESE Insight; and in media outlets including the Economist, The Boston Globe, and The Globe and Mail.

Professor Mortensen teaches the Organisational Behaviour core course in the INSEAD MBA programme. He directs the Global Leadership Programme for DNV GL and teaches modules on Team Dynamics and Virtual Teams; Power, Networks, and Influence; and Organisational Change. He has taught in open Executive Education programmes including Consulting and Coaching for Change, Managing Global Virtual Teams, Manufacturing in a Global Network, and Strategic R&D Management, as well as in the customised programmes for Associated British Foods, Astellas Pharmaceuticals, Bayer / Bayer Crop Science, HCL, KONE, Lundbeck A/S, Ma’aden, Maersk Oil, Manulife Financial, Merck KGaA, MetInvest Holdings, Oliver Wyman, pwc, Takeda Pharmaceuticals, United Technologies, and the World Economic Forum. 

Professor Mortensen consults widely on issues of team dynamics, global collaboration, power and social networks, and organisational change. He has worked with companies such as First Solar, Generalized Reinsurance, Goldman Sachs/Pine Street, Maersk Oil, and Merck KGaA.

Prior to joining INSEAD, Professor Mortensen was on the faculty of the MIT-Sloan School of Management, and before that, the Desautels School of Management at McGill University. Professor Mortensen holds a PhD in Management Science and Engineering from Stanford University, and an MS from Stanford University and a BA from Colby College, both in Computer Science.
"
mark-stabile,Economics and Political Science,"Inequality and Poverty,
Child Health and Wellbeing,
Health Care Financing,
Tax Policy","Business and Public Policy,
Health Care Markets and Policy","Mark Stabile is the Stone Chaired Professor of Wealth Inequality and Professor of Economics at INSEAD. He directs the James M. and Cathleen D. Stone Centre for the Study of Wealth Inequality at INSEAD and is the Deputy Academic Director of the Hoffmann Global Institute for Business and Society. 

From 2007 to 2015 he was the founding Director of the School of Public Policy and Governance at the University of Toronto and Professor of Economics and Public Policy at the Rotman School of Management, University of Toronto. He maintains a cross appointment at the University of Toronto Dalla Lana School of Public Health. From 2003-2005 he was the Senior Policy Advisor to the Ontario Minister of Finance, where he worked on tax, health, and education policy. He is the recipient of the Carolyn Tuohy award in Public Policy, the John Polanyi Prize in Economics, the Harry Johnson Prize from the Canadian Economics Association and an Excellence in Teaching Award from the Rotman School. His recent work focuses on inequality, poverty, child health, health care financing, and tax policy. He has advised the Governments of the United States, Canada, and Ontario, among others, on health care reform and programs to reduce child poverty. He is associate editor of the Journal of Health Economics. Professor Stabile received his Ph.D. from Columbia University and his BA from the University of Toronto.
"
